          beta                  ftr                   kt                    am                    aant                  nant                  nmax                  bant                  tau                   rdg                   rho           biomass             
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03          133056.5    
   0.8010000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03          133048.7    
   0.8000000             0.8546000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03          133179.9    
   0.8000000             0.8461000             0.8080000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03          133180.4    
   0.8000000             0.8461000             0.8000000             0.5050000             9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03          147457.3    
   0.8000000             0.8461000             0.8000000             5.0000001E-02         1.0100000E-04         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03          133056.5    
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6060000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03          133175.7    
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10100.00              500.0000              10.00000             0.2000000             9.9999998E-03          133059.5    
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              505.0000              10.00000             0.2000000             9.9999998E-03          133060.8    
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.10000             0.2000000             9.9999998E-03          132936.2    
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2020000             9.9999998E-03          133117.7    
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             1.0100000E-02          132917.2    
