beta   ftr     kt     am      aant      nant   nmax        bant     tau     rdg   rho		  p_root     p_shoot     loss       kcmin    kcfull
0.8   0.8461   0.8    0.05    0.0001    0.6    10000.0     500.0    10.0    0.2   0.01    0.4        0.6         0.00046    0.0      1.14
0.808 0.8461   0.8    0.05    0.0001    0.6    10000.0     500.0    10.0    0.2   0.01    0.4        0.6         0.00046    0.0      1.14
0.8   0.8546   0.8    0.05    0.0001    0.6    10000.0     500.0    10.0    0.2   0.01    0.4        0.6         0.00046    0.0      1.14
0.8   0.8461   0.808  0.05    0.0001    0.6    10000.0     500.0    10.0    0.2   0.01    0.4        0.6         0.00046    0.0      1.14
0.8   0.8461   0.8    0.505   0.0001    0.6    10000.0     500.0    10.0    0.2   0.01    0.4        0.6         0.00046    0.0      1.14
0.8   0.8461   0.8    0.05    0.000101  0.6    10000.0     500.0    10.0    0.2   0.01    0.4        0.6         0.00046    0.0      1.14
0.8   0.8461   0.8    0.05    0.0001    0.606  10000.0     500.0    10.0    0.2   0.01    0.4        0.6         0.00046    0.0      1.14
0.8   0.8461   0.8    0.05    0.0001    0.6    10100.0     500.0    10.0    0.2   0.01    0.4        0.6         0.00046    0.0      1.14
0.8   0.8461   0.8    0.05    0.0001    0.6    10000.0     505.0    10.0    0.2   0.01    0.4        0.6         0.00046    0.0      1.14
0.8   0.8461   0.8    0.05    0.0001    0.6    10000.0     500.0    10.1    0.2   0.01    0.4        0.6         0.00046    0.0      1.14
0.8   0.8461   0.8    0.05    0.0001    0.6    10000.0     500.0    10.0    0.202 0.01    0.4        0.6         0.00046    0.0      1.14
0.8   0.8461   0.8    0.05    0.0001    0.6    10000.0     500.0    10.0    0.2   0.0101  0.4        0.6         0.00046    0.0      1.14
0.8   0.8461   0.8    0.05    0.0001    0.6    10000.0     500.0    10.0    0.2   0.01    0.404      0.6         0.00046    0.0      1.14
0.8   0.8461   0.8    0.05    0.0001    0.6    10000.0     500.0    10.0    0.2   0.01    0.4        0.606       0.00046    0.0      1.14
0.8   0.8461   0.8    0.05    0.0001    0.6    10000.0     500.0    10.0    0.2   0.01    0.4        0.6         0.0004646  0.0      1.14
0.8   0.8461   0.8    0.05    0.0001    0.6    10000.0     500.0    10.0    0.2   0.01    0.4        0.6         0.00046    0.0      1.14
0.8   0.8461   0.8    0.05    0.0001    0.6    10000.0     500.0    10.0    0.2   0.01    0.4        0.6         0.00046    0.0      1.1514
