          beta                  ftr                   kt                    am                    aant                  nant                  nmax                  bant                  tau                   rdg                   rho           biomass             
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03          0.000000    
   0.8010000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03        -5.8598227E-05
   0.8000000             0.8546000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03         9.2747255E-04
   0.8000000             0.8461000             0.8080000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03         9.3123032E-04
   0.8000000             0.8461000             0.8000000             0.5050000             9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03         0.1082307    
   0.8000000             0.8461000             0.8000000             5.0000001E-02         1.0100000E-04         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03          0.000000    
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6060000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03         8.9588354E-04
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10100.00              500.0000              10.00000             0.2000000             9.9999998E-03         2.2546812E-05
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              505.0000              10.00000             0.2000000             9.9999998E-03         3.2293614E-05
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.10000             0.2000000             9.9999998E-03        -9.0410368E-04
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2020000             9.9999998E-03         4.5997847E-04
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             1.0100000E-02        -1.0469002E-03
