          beta                  ftr                   kt                    am                    aant                  nant                  nmax                  bant                  tau                   rdg                   rho           biomass             
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03          0.000000    
   0.8010000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03         -7796.976    
   0.8000000             0.8546000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03          14518.31    
   0.8000000             0.8461000             0.8080000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03          15488.25    
   0.8000000             0.8461000             0.8000000             0.5050000             9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03          31650.10    
   0.8000000             0.8461000             0.8000000             5.0000001E-02         1.0100000E-04         0.6000000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03          0.000000    
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6060000              10000.00              500.0000              10.00000             0.2000000             9.9999998E-03          19867.25    
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10100.00              500.0000              10.00000             0.2000000             9.9999998E-03         2.9999999E-02
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              505.0000              10.00000             0.2000000             9.9999998E-03         0.8593750    
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.10000             0.2000000             9.9999998E-03         -1202.964    
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2020000             9.9999998E-03          30601.50    
   0.8000000             0.8461000             0.8000000             5.0000001E-02         9.9999997E-05         0.6000000              10000.00              500.0000              10.00000             0.2000000             1.0100000E-02         -1392971.    
